100	9415
5100	1470246
10100	3104288
15100	3853959
20100	5409597
25100	6318913
30100	8192006
35100	9335908
40100	10232600
45100	12247904
50100	13836451
55100	14992883
60100	16805759
65100	17521317
70100	19188881
75100	21313784
80100	22193272
85100	23686302
90100	25545517
95100	27033606
100100	28344574
105100	30396553
110100	31782330
115100	32258044
120100	33982823
125100	35951689
130100	36645190
135100	39559280
140100	40853842
145100	41095834
150100	43972436
155100	45306138
160100	46549369
165100	47726160
170100	48893558
175100	49266286
180100	52294821
185100	55709342
190100	56688174
195100	57615581
200100	56712897
205100	60013007
210100	59325257
215100	61137071
220100	64454123
225100	64338425
230100	65033974
235100	66513196
240100	66314709
245100	67246709
250100	70683023
255100	74265052
260100	75583579
265100	75309430
270100	77282623
275100	79047001
280100	81481301
285100	79518801
290100	83902353
295100	86029847
300100	86986522
305100	84948172
310100	87909027
315100	90673018
320100	94539313
325100	95151535
330100	96413298
335100	97608556
340100	98460926
345100	102919928
350100	103901574
355100	105179293
360100	102950660
365100	104407709
370100	108424818
375100	107766930
380100	109375156
385100	111214795
390100	111972682
395100	113128153
400100	115249774
405100	120249451
410100	118993765
415100	120716190
420100	120835172
425100	124514380
430100	124767194
435100	126527313
440100	128933974
445100	133128185
450100	134131991
455100	132585059
460100	134846761
465100	134939977
470100	137797294
475100	137972718
480100	143566922
485100	140387590
490100	142329862
495100	148902464
