100	13444
5100	648916
10100	1270156
15100	1917513
20100	2685523
25100	3266746
30100	4073528
35100	4822027
40100	5439684
45100	6161044
50100	6813899
55100	7595037
60100	9139128
65100	9742239
70100	9804126
75100	10513014
80100	11177537
85100	11944733
90100	12626728
95100	13251558
100100	14045848
105100	14814758
110100	15565475
115100	16290480
120100	17098054
125100	17741459
130100	18342449
135100	19194809
140100	20150199
145100	20660860
150100	21232700
155100	22060249
160100	22690183
165100	23344696
170100	24266378
175100	25040996
180100	25782420
185100	26480410
190100	27109737
195100	27709129
200100	28576396
205100	29403944
210100	30023958
215100	31032325
220100	34189199
225100	32185588
230100	32725904
235100	33590820
240100	34380461
245100	35174417
250100	35905761
255100	36610817
260100	37149120
265100	37979473
270100	38879685
275100	39814306
280100	40563355
285100	41195558
290100	41861672
295100	42307298
300100	43213554
305100	44019810
310100	44795065
315100	45502070
320100	46230075
325100	46819138
330100	47561719
335100	48276160
340100	47750380
345100	49432956
350100	50777662
355100	50059373
360100	50482936
365100	51357359
370100	51842690
375100	52677817
380100	53226381
385100	53663788
390100	54197967
395100	54987766
400100	56299704
405100	58733293
410100	58762704
415100	58483328
420100	59347265
425100	61971898
430100	61599580
435100	61109340
440100	61981307
445100	62315425
450100	64541818
455100	64096676
460100	64586776
465100	65306219
470100	65925120
475100	66721648
480100	70141233
485100	68410174
490100	69155219
495100	70052081
